Business_Name,Location,Review text,Rating
Paragon ,"Shanthala nagar,Bengaluru","Good Ambience, friendly Staff and Great food",5
Paragon ,"Shanthala nagar,Bengaluru",the food was very vibe and u must try! coconut pudding is ultimate! liked biriyani!,5
Paragon ,"Shanthala nagar,Bengaluru",Taste and service is best. Worth the wait,5
Paragon ,"Shanthala nagar,Bengaluru","Go there for amazing seafood curries,super yummy Malabar biryanis and refreshing coolers/drinks.",4
Paragon ,"Shanthala nagar,Bengaluru","Incredible, consistent food. The fish/ veg mango curry, appams, fish tawa fry, biryani - incredible. Very well balanced flavours.",5
Paragon ,"Shanthala nagar,Bengaluru",I love this restaurant every time I visit. But this time I wanted to give review about their plum cake. It tastes heavenly and I feel everyone has to give it a try.,5
Paragon ,"Shanthala nagar,Bengaluru","Poor food quality,delayed delivery,stale biryani,poor food quality,and the resturants lack of responsibility",1
Paragon ,"Shanthala nagar,Bengaluru","This place was recommended by a friend, but the experience was disappointing. We were seated quickly, but they only gave one menu for a table of four and when we asked for another, they provided the previous day’s menu.",2
Paragon ,"Shanthala nagar,Bengaluru",most yummiest food. very expensive though,5
Paragon ,"Shanthala nagar,Bengaluru",I can't explain the taste very tasty and very clean tables hygienicly service food good quality,5
Paragon ,"Shanthala nagar,Bengaluru",Food was good and service was impeccable. Wait time to get seated was long and service can be slow sometimes. Tried the iconic Chicken Biryani and Fish starter it was excellent and will recommend.,5
Paragon ,"Shanthala nagar,Bengaluru",Food was horrible. Don’t understand the hype,1
Paragon ,"Shanthala nagar,Bengaluru",most yummiest food. very expensive though,1
Paragon ,"Shanthala nagar,Bengaluru",Best place in bengaluru to have Kerala food.,5
Paragon ,"Shanthala nagar,Bengaluru",Must try is mango fish curry and authentic biryani . Service is fast and quality of food is top notch,4
Paragon ,"Shanthala nagar,Bengaluru",Too good. Best place for kerala cuisine.,5
Paragon ,"Shanthala nagar,Bengaluru",The overall experience was great and is place that would call you back again. Great work paragon team!,5
Paragon ,"Shanthala nagar,Bengaluru",The food is really very good and the prices are justified! The portions are also healthy!,5
Paragon ,"Shanthala nagar,Bengaluru",We went Especially to try the Chicken Biryani it was good and portions very nice,5
Paragon ,"Shanthala nagar,Bengaluru","Incredible, consistent food. The fish/ veg mango curry, appams, fish tawa fry, biryani - incredible. Very well balanced flavours.",5
Paragon ,"Shanthala nagar,Bengaluru",visited more than 50 times most of the time keep waiting like stray dogs on the door due to this stopped the visits over there no proper reservation system there,1
Paragon ,"Shanthala nagar,Bengaluru",It is a must visit place for kerala (malabar) food lovers. The food is a bit expensive but quite delicious What impressed me the most was their service. Impeccable! ,5
Paragon ,"Shanthala nagar,Bengaluru","I highly appreciate and recommend this restaurant for it's excellent food options, tasty food",5
Paragon ,"Shanthala nagar,Bengaluru",Food is amazing ….. so much better than any other kerela restaurant in bangalore…. Keep up the taste ,5
Paragon ,"Shanthala nagar,Bengaluru",It is a must visit place for kerala (malabar) food lovers. The food is a bit expensive but quite delicious What impressed me the most was their service.,4
Paragon ,"Shanthala nagar,Bengaluru",DINING,5
Paragon ,"Shanthala nagar,Bengaluru",Delicious food,5
Paragon ,"Shanthala nagar,Bengaluru",Went there for breakfast on a weekend. The service is prompt and food is delicious. The appams and stew took us back to Kerala ,5
Paragon ,"Shanthala nagar,Bengaluru",Food was horrible. Don’t understand the hype,1
Paragon ,"Shanthala nagar,Bengaluru","Their menu is the exact same, and they've managed to keep their standard on quality the same as well.",5
Paragon ,"Shanthala nagar,Bengaluru",I would say food and service for us was average,2
Paragon ,"Shanthala nagar,Bengaluru","Great food, same taste as Calicut!",5
